Line,Section,Subsection,Item,LR_PN,Manufacturer,Manufacturer_PN,Qty,UOM,Notes
1.1,1 Core processing & optical (CPO),ASIC,Central switch ASIC 51.2 Tbps,LR-CSW-51T2-A0,LightRail AI,vendor-NDA,1,ea,256 x 200G PAM4 SerDes; 7nm; 80x80 BGA-5500; ~600 W TDP
1.2,1 Core processing & optical (CPO),Optics,CPO optical engine 3.2 Tbps,LR-CPO-3T2-A0,LightRail AI Photonics,vendor-NDA,16,ea,TFLN MZM array + Ge-Si PD + driver/TIA; 16 x 200G PAM4 per engine
1.3,1 Core processing & optical (CPO),Interposer,Silicon interposer CoWoS-L,LR-INT-S1A-A0,TSMC,CoWoS-L,1,ea,80x80 mm interposer; routes 4096 SerDes lanes
1.4,1 Core processing & optical (CPO),Chiplet,Bridging chiplet UCIe D2D PHY,LR-D2D-S1A-A0,LightRail AI,vendor-NDA,16,ea,UCIe 1.1 die-to-die PHY ASIC<->CPO engine
1.5,1 Core processing & optical (CPO),PIC,TFLN PIC die,LR-TFLN-200G-A0,LightRail AI Photonics,vendor-NDA,16,ea,16 x 200G TFLN modulators per PIC; integrated edge coupler
1.6,1 Core processing & optical (CPO),Materials,CPO micro-bump underfill,LR-UF-CPO-A0,Henkel,Loctite ECCOBOND UF 3810,16,ea,Capillary-flow underfill for CPO chiplet
1.7,1 Core processing & optical (CPO),Materials,Composite-BGA underfill,LR-UF-BGA-A0,Namics,XS8410-251,1,ea,Underfill for switch ASIC composite BGA
1.8,1 Core processing & optical (CPO),Thermal,ASIC TIM Indium foil 100 um,LR-TIM-IN-A0,Indium Corporation,Indium-7M,1,ea,High-conductivity TIM-1.5
1.9,1 Core processing & optical (CPO),Thermal,Cold plate Cu microchannel,LR-CP-S1A-A0,Asetek/CoolIT,custom drawing,1,ea,Skived-fin Cu microchannel; 25 mL/s @ 30 kPa
1.10,1 Core processing & optical (CPO),Mechanical,Cold-plate retention frame,LR-CP-BRK-S1A,Custom,Al 6061-T6 anodised,1,ea,4-corner with belleville springs
1.11,1 Core processing & optical (CPO),Liquid cooling,Quick-disconnect couplings,LR-LQ-QD-A0,CPC,Everis LQ4 40 LPM,2,ea,Drip-less inlet + outlet
1.12,1 Core processing & optical (CPO),Liquid cooling,Coolant tubing 1/4" ID,LR-LQ-TUB-A0,Saint-Gobain,Tygon SE-200,1.5,m,Low-permeation coolant tubing
1.13,1 Core processing & optical (CPO),Telemetry,Coolant flow & temperature sensor,LR-LQ-SNS-A0,TE Connectivity,FTB332 + NTC,1,ea,Inline flow/temp for BMC
1.14,1 Core processing & optical (CPO),PCB,Main PCB 18-layer HDI,LR-PCB-S1A-A0,Sierra Circuits/NCAB/AT&S,custom Megtron-7,1,ea,600x400 mm; IPC-6012 Class 3; +-5% impedance
1.15,1 Core processing & optical (CPO),Mechanical,Backside ASIC bolster,LR-BLS-S1A-A0,Custom,steel/EN nickel,1,ea,Reinforcement under composite-BGA footprint
1.16,1 Core processing & optical (CPO),Grounding,ESD-grounding strap,LR-GND-STRAP-A0,3M,2110,4,ea,Cold plate <-> chassis ground
1.17,1 Core processing & optical (CPO),Debug,ASIC test/debug header,LR-DBG-S1A-A0,Samtec,ERM8-040-05.0-L-DV-A-K,1,ea,80-pin JTAG/SCAN/I2C
2.1,2 Optical routing,Ribbon,SMF ribbon assembly 16-fibre,LR-RIB-16F-A0,Furukawa,SCC OS2 9/125,32,ea,16f OS2 polyimide-jacketed; 0.30 m typical
2.2,2 Optical routing,Connector,SENKO SN-MT mid-board 16f,LR-MID-SN16-A0,SENKO Advanced Components,SN-MT-16,32,ea,High-density mid-board connector; 0.5 mm pitch
2.3,2 Optical routing,Patch,SENKO MPO-16 to MPO-16 patch,LR-PATCH-MPO16-A0,SENKO,MPO-16-OS2-1.5m,16,ea,Pre-terminated Pinned-to-Unpinned patch
2.4,2 Optical routing,Bulkhead,Front-panel optical bulkhead MPO-16,LR-BHD-MPO16-A0,SENKO,LC-MPO16-PIN-BHD,16,ea,Bulkhead with dust shutter
2.5,2 Optical routing,Mechanical,Cable routing tray primary,LR-TRAY-MAIN-A0,Custom,Polyamide 12,2,ea,Left + right primary fibre raceway
2.6,2 Optical routing,Mechanical,Cable routing tray transverse,LR-TRAY-TRV-A0,Custom,Polyamide 12,1,ea,Centre cross-over tray
2.7,2 Optical routing,Strain relief,Bend-limiting fibre boot,LR-BOOT-A0,Panduit,FBSB-FQTS-C0,64,ea,One per ribbon termination
2.8,2 Optical routing,Strain relief,Strain-relief clamp,LR-SR-CLAMP-A0,Heyco,S6P4-4,24,ea,Mid-tray fibre run lock
